Ticker
NASDAQ:TSLA
NASDAQ:NVDA
NASDAQ:META
NASDAQ:COIN
NASDAQ:AMZN
NYSE:CVNA
NASDAQ:RIVN
NASDAQ:AAPL
NASDAQ:AMD
NASDAQ:MARA
NYSE:SPCE
NASDAQ:FFIE
NASDAQ:NKLA
NYSE:BABA
NASDAQ:MSFT
NYSE:NIO
NASDAQ:LCID
NYSE:AMC
NYSE:AI
NASDAQ:NFLX
NYSE:GME
NASDAQ:RIOT
NYSE:PLTR
NASDAQ:CSTL
NASDAQ:PYPL
AMEX:UVXY
NASDAQ:PLUG
AMEX:SOXL
NASDAQ:TLRY
NYSE:XPEV
NASDAQ:NVAX
NASDAQ:AFRM
NASDAQ:GOEV
NASDAQ:RDFN
NYSE:DIS
NASDAQ:INTC
NASDAQ:CRBU
NYSE:SHOP
NASDAQ:GREE
NASDAQ:GOOGL
NYSE:SNAP
NYSE:NKE
NASDAQ:ROKU
NASDAQ:GOOG
NYSE:W
NASDAQ:BYND
NYSE:KO
NASDAQ:SQQQ
NYSE:SU
NASDAQ:ADBE
NYSE:U
NYSE:BAC
NYSE:SQ
NASDAQ:UPST
NYSE:PFE
NASDAQ:JD
NASDAQ:MAT
NYSE:WE
NYSE:T
NASDAQ:NEXT
NYSE:CCL
NYSE:OXY
NASDAQ:CLSK
NASDAQ:NDAQ
NYSE:DAL
NYSE:WBX
NASDAQ:FGEN
NASDAQ:TQQQ
NYSE:UBER
NASDAQ:HOOD
NASDAQ:ATER
NASDAQ:MRNA
NYSE:APE
NASDAQ:AMRS
NYSE:JOBY
NYSE:IONQ
NASDAQ:MVIS
NASDAQ:PDD
NASDAQ:HUT
NASDAQ:BTAI
NASDAQ:CRWD
NASDAQ:MU
NASDAQ:ATVI
NASDAQ:SOFI
NASDAQ:MSTR
NASDAQ:DKNG
AMEX:UNG
NYSE:TSM
NASDAQ:ENPH
NYSE:SNOW
NYSE:RBLX
AMEX:FNGU
NASDAQ:FCEL
NASDAQ:AAL
NASDAQ:LYFT
NYSE:FSR
NYSE:BB
NASDAQ:RUN
NYSE:JPM
NASDAQ:TRUP
NYSE:BA
NYSE:F
NYSE:FUBO
NASDAQ:QCOM
